case,length,csv,f_max,n_raw,df_med,combo,df_hz,stop_hz,available,dmax,dd,N,detectable,alias_margin,peak_m,peak_error,peak_abs,bg90,bgmed,score90,tol,folded_m
某地-2400m,2400.0,/mnt/data/cable_field_data/某地-2400m/2025-10-27 10.32.26-A相[末端开路].csv,1000000000.0,49999,697.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,2.0912070692909834,2121.699917646081,-278.30008235391915,22254.578007240085,72150.03276510247,32271.409435980444,0.30844861955494746,350.0,
某地-2400m,2400.0,/mnt/data/cable_field_data/某地-2400m/2025-10-27 10.32.26-A相[末端开路].csv,1000000000.0,49999,697.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,True,1.6729656554327865,2678.3512563424392,278.3512563424392,14428.665261813669,53299.403482604364,11600.586215581141,0.27070969502543935,350.0,
某地-2400m,2400.0,/mnt/data/cable_field_data/某地-2400m/2025-10-27 10.32.26-A相[末端开路].csv,1000000000.0,49999,697.0,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,True,1.3941380461939887,2744.6073219041336,344.60732190413364,58150.50664434744,127776.25526673089,30403.611304876264,0.45509634417567796,350.0,
某地-2400m,2400.0,/mnt/data/cable_field_data/某地-2400m/2025-10-27 10.32.26-A相[末端开路].csv,1000000000.0,49999,697.0,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,False,1.0456035346454917,2459.25449408729,59.25449408728991,491209.43064184923,133306.60881234283,40411.78182697862,3.6848092905381016,350.0,
某地-2400m,2400.0,/mnt/data/cable_field_data/某地-2400m/2025-10-27 10.32.26-A相[末端开路].csv,1000000000.0,49999,697.0,200k/1000M,200000.0,1000000000.0,True,501.88969662983595,0.05018395126785681,10001.0,False,0.20912070692909832,,,,,,,,392.4412134806562
某地-250m,250.0,/mnt/data/cable_field_data/某地-250m/2025-10-29 15.52.10-A相[末端开路].csv,1000000000.0,49999,697.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,40.15117573038688,294.1367759026741,44.13677590267412,191460.2058915647,32536.337453606786,5237.289099464475,5.884503938544581,45.0,
某地-250m,250.0,/mnt/data/cable_field_data/某地-250m/2025-10-29 15.52.10-A相[末端开路].csv,1000000000.0,49999,697.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,26.767450486924584,294.47140249642007,44.47140249642007,304246.81086035224,57761.405138596616,10741.054819632227,5.267302797262669,45.0,
某地-250m,250.0,/mnt/data/cable_field_data/某地-250m/2025-10-29 15.52.10-A相[末端开路].csv,1000000000.0,49999,697.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,20.07558786519344,294.63871579329304,44.638715793293045,247588.5910536609,84121.23597895107,15121.484764223329,2.9432352981072802,45.0,
某地-250m,250.0,/mnt/data/cable_field_data/某地-250m/2025-10-29 15.52.10-A相[末端开路].csv,1000000000.0,49999,697.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,True,16.06047029215475,294.73910377141686,44.739103771416865,307773.56572445616,95893.28302835127,17945.40872308535,3.2095424831107464,45.0,
某地-250m,250.0,/mnt/data/cable_field_data/某地-250m/2025-10-29 15.52.10-A相[末端开路].csv,1000000000.0,49999,697.0,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,True,13.383725243462292,294.806029090166,44.80602909016602,485388.4887069911,123021.95620181078,27900.305485046774,3.945543573626303,45.0,
某地-250m,250.0,/mnt/data/cable_field_data/某地-250m/2025-10-29 15.52.10-A相[末端开路].csv,1000000000.0,49999,697.0,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,True,10.03779393259672,294.63871579329304,44.638715793293045,409658.23430198926,146868.41644859957,37187.215402676164,2.789287473834511,45.0,
某地-250m,250.0,/mnt/data/cable_field_data/某地-250m/2025-10-29 15.52.10-A相[末端开路].csv,1000000000.0,49999,697.0,200k/1000M,200000.0,1000000000.0,True,501.88969662983595,0.05018395126785681,10001.0,True,2.007558786519344,294.98126555246233,44.98126555246233,358953.13477705454,237617.60304878838,72818.51467173104,1.5106335985695183,45.0,
某地-3000m,3000.0,/mnt/data/cable_field_data/某地-3000m/2025-5-21 18.02.26-A相[末端开路].csv,1000000000.0,49999,697.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,3.3459313108655735,2969.4763929013993,-30.523607098600678,26853.85034431964,30152.809968847047,10293.293735442468,0.8905919671189587,350.0,
某地-3000m,3000.0,/mnt/data/cable_field_data/某地-3000m/2025-5-21 18.02.26-A相[末端开路].csv,1000000000.0,49999,697.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,2.230620873910382,2980.18444390127,-19.815556098730212,35432.92029400208,54888.20835973117,24787.51882955373,0.6455470373851281,350.0,
某地-3000m,3000.0,/mnt/data/cable_field_data/某地-3000m/2025-5-21 18.02.26-A相[末端开路].csv,1000000000.0,49999,697.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,1.6729656554327867,3295.235381913064,295.235381913064,27283.177794960895,59945.09378024851,25592.134740076028,0.45513612665246195,350.0,
某地-3000m,3000.0,/mnt/data/cable_field_data/某地-3000m/2025-5-21 18.02.26-A相[末端开路].csv,1000000000.0,49999,697.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,True,1.3383725243462292,3349.3445021217817,349.3445021217817,40932.36509218646,63885.91328742782,18128.08495526063,0.6407103379430217,350.0,
某地-3000m,3000.0,/mnt/data/cable_field_data/某地-3000m/2025-5-21 18.02.26-A相[末端开路].csv,1000000000.0,49999,697.0,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,True,1.115310436955191,3278.671365522641,278.6713655226408,379341.16381421627,83559.28066410878,30831.26024820756,4.53978493830135,350.0,
某地-3000m,3000.0,/mnt/data/cable_field_data/某地-3000m/2025-5-21 18.02.26-A相[末端开路].csv,1000000000.0,49999,697.0,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,False,0.8364828277163934,,,,,,,,490.55151685082
某地-3000m,3000.0,/mnt/data/cable_field_data/某地-3000m/2025-5-21 18.02.26-A相[末端开路].csv,1000000000.0,49999,697.0,200k/1000M,200000.0,1000000000.0,True,501.88969662983595,0.05018395126785681,10001.0,False,0.16729656554327865,,,,,,,,490.55151685082024
某地-300m,300.0,/mnt/data/cable_field_data/某地-300m/2025-9-16 12.02.15-A相[末端开路].csv,1000000000.0,49999,697.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,33.459313108655735,268.03590159049145,-31.96409840950855,123038.54753689103,36637.00407316921,5968.896153163143,3.358313558913438,54.0,
某地-300m,300.0,/mnt/data/cable_field_data/某地-300m/2025-9-16 12.02.15-A相[末端开路].csv,1000000000.0,49999,697.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,22.30620873910382,267.70127499674555,-32.29872500325445,141877.8572510951,69089.93953559021,11656.681907600752,2.0535241194994787,54.0,
某地-300m,300.0,/mnt/data/cable_field_data/某地-300m/2025-9-16 12.02.15-A相[末端开路].csv,1000000000.0,49999,697.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,16.729656554327867,267.03202180925365,-32.96797819074635,150977.60405754021,102156.87637425106,18390.619050240202,1.4778995738322571,54.0,
某地-300m,300.0,/mnt/data/cable_field_data/某地-300m/2025-9-16 12.02.15-A相[末端开路].csv,1000000000.0,49999,697.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,True,13.383725243462292,267.8351256342439,-32.16487436575608,124729.99198810209,124732.22445931406,18640.373166584082,0.9999821018888931,54.0,
某地-300m,300.0,/mnt/data/cable_field_data/某地-300m/2025-9-16 12.02.15-A相[末端开路].csv,1000000000.0,49999,697.0,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,True,11.15310436955191,267.3666484029996,-32.6333515970004,163398.47146429363,154809.2854865425,36119.1754369311,1.0554823694893791,54.0,
某地-300m,300.0,/mnt/data/cable_field_data/某地-300m/2025-9-16 12.02.15-A相[末端开路].csv,1000000000.0,49999,697.0,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,True,8.364828277163934,267.5339616998725,-32.46603830012748,158591.9006586426,202302.4239998813,53846.86235762033,0.7839347523524268,54.0,
某地-300m,300.0,/mnt/data/cable_field_data/某地-300m/2025-9-16 12.02.15-A相[末端开路].csv,1000000000.0,49999,697.0,200k/1000M,200000.0,1000000000.0,True,501.88969662983595,0.05018395126785681,10001.0,True,1.6729656554327865,246.0017291150341,-53.998270884965905,393207.7444871789,239989.1091598112,88604.60817547316,1.638439951978562,54.0,
某地-780m,780.0,/mnt/data/cable_field_data/某地-780m/2025-6-5 12.48.52-A相[末端开路].csv,1000000000.0,49999,697.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,12.868966580252206,919.5538796138209,139.55387961382087,1295804.4578890956,41465.4830841249,9395.812375579862,31.25019562078117,140.4,
某地-780m,780.0,/mnt/data/cable_field_data/某地-780m/2025-6-5 12.48.52-A相[末端开路].csv,1000000000.0,49999,697.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,8.579311053501469,920.2231328013128,140.22313280131277,2286406.249663202,62531.91057215977,14424.213974090753,36.56383163000856,140.4,
某地-780m,780.0,/mnt/data/cable_field_data/某地-780m/2025-6-5 12.48.52-A相[末端开路].csv,1000000000.0,49999,697.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,6.434483290126103,920.0558195044397,140.05581950443968,1647012.0248446588,90824.20425022379,27286.26195658191,18.134065015390437,140.4,
某地-780m,780.0,/mnt/data/cable_field_data/某地-780m/2025-6-5 12.48.52-A相[末端开路].csv,1000000000.0,49999,697.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,True,5.147586632100881,920.3569834388112,140.3569834388112,1963325.7546904034,55408.98300529034,21097.108286630842,35.43334759461203,140.4,
某地-780m,780.0,/mnt/data/cable_field_data/某地-780m/2025-6-5 12.48.52-A相[末端开路].csv,1000000000.0,49999,697.0,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,True,4.289655526750734,920.2231328013128,140.22313280131277,1647739.0807334487,136148.59739971004,44946.2989804836,12.102504999709662,140.4,
某地-780m,780.0,/mnt/data/cable_field_data/某地-780m/2025-6-5 12.48.52-A相[末端开路].csv,1000000000.0,49999,697.0,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,True,3.2172416450630514,920.3067894497492,140.3067894497492,1745944.9412327346,152968.15930177187,50499.68848527573,11.413780156616625,140.4,
某地-780m,780.0,/mnt/data/cable_field_data/某地-780m/2025-6-5 12.48.52-A相[末端开路].csv,1000000000.0,49999,697.0,200k/1000M,200000.0,1000000000.0,True,501.88969662983595,0.05018395126785681,10001.0,False,0.6434483290126102,,,,,,,,278.11030337016405
深圳-2800m,2800.0,/mnt/data/cable_field_data/深圳-2800m/2026-4-22 11.01.43-A相.csv,1000000000.0,49999,697.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,3.5849264044988285,3101.9885240247886,301.9885240247886,31179.837997052444,33469.525234908266,10534.224311370917,0.9315888940226822,350.0,
深圳-2800m,2800.0,/mnt/data/cable_field_data/深圳-2800m/2026-4-22 11.01.43-A相.csv,1000000000.0,49999,697.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,2.389950936332552,3114.0350813996424,314.0350813996424,38578.54697216395,61189.57822202366,24367.060292298498,0.6304757786069943,350.0,
深圳-2800m,2800.0,/mnt/data/cable_field_data/深圳-2800m/2026-4-22 11.01.43-A相.csv,1000000000.0,49999,697.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,1.7924632022494142,3117.548660633974,317.5486606339741,20799.812666954116,44826.76187794543,15342.664972149194,0.4640043535508536,350.0,
深圳-2800m,2800.0,/mnt/data/cable_field_data/深圳-2800m/2026-4-22 11.01.43-A相.csv,1000000000.0,49999,697.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,True,1.4339705617995313,2800.0214858284603,0.021485828460299672,33299.2124082559,94614.7408804772,23096.404383216002,0.3519452899027794,350.0,
深圳-2800m,2800.0,/mnt/data/cable_field_data/深圳-2800m/2026-4-22 11.01.43-A相.csv,1000000000.0,49999,697.0,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,True,1.194975468166276,3147.497740774236,347.4977407742358,115172.38215973266,74102.08106782228,21969.63553713734,1.5542395098772004,350.0,
深圳-2800m,2800.0,/mnt/data/cable_field_data/深圳-2800m/2026-4-22 11.01.43-A相.csv,1000000000.0,49999,697.0,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,False,0.8962316011247071,,,,,,,,290.55151685082
深圳-2800m,2800.0,/mnt/data/cable_field_data/深圳-2800m/2026-4-22 11.01.43-A相.csv,1000000000.0,49999,697.0,200k/1000M,200000.0,1000000000.0,True,501.88969662983595,0.05018395126785681,10001.0,False,0.1792463202249414,,,,,,,,290.55151685082024
深圳-3900m,3900.0,/mnt/data/cable_field_data/深圳-3900m/2026-2-3 12.45.59-A相[末端开路].csv,1000000000.0,49999,697.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,2.573793316050441,3985.402731514049,85.40273151404881,24565.561898321466,31985.259596001564,11194.727516729203,0.7680275917282965,350.0,
深圳-3900m,3900.0,/mnt/data/cable_field_data/深圳-3900m/2026-2-3 12.45.59-A相[末端开路].csv,1000000000.0,49999,697.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,1.7158622107002939,3978.7101996391307,78.71019963913068,25513.381587127005,65101.67012634613,20543.533931583923,0.39190056933427186,350.0,
深圳-3900m,3900.0,/mnt/data/cable_field_data/深圳-3900m/2026-2-3 12.45.59-A相[末端开路].csv,1000000000.0,49999,697.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,1.2868966580252206,4246.913414526494,346.9134145264943,43500.037953709565,61812.87234531666,19523.849947020164,0.7037375275282027,350.0,
深圳-3900m,3900.0,/mnt/data/cable_field_data/深圳-3900m/2026-2-3 12.45.59-A相[末端开路].csv,1000000000.0,49999,697.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,False,1.0295173264201762,3931.996327152199,31.996327152198774,66076.16715741517,37043.15507922297,9882.746224223496,1.7837618587320723,350.0,
